Customer,Item,Quantity
DEPARTMENT OF THE ARMY,Education,1
DEPARTMENT OF THE ARMY,FST-2000,14
DEPARTMENT OF THE ARMY,FST-2207/2209 DS1,4
DEPARTMENT OF THE ARMY,FST-2310-OC12,4
DEPARTMENT OF THE ARMY,HST-3000C-CE,8
DEPARTMENT OF THE ARMY,MTS-5100e,24
DEPARTMENT OF THE ARMY,OTDR - FiberComplete modules,4
DEPARTMENT OF THE ARMY,Repair,10
DEPARTMENT OF THE ARMY,SMART Handhelds,6
DEPARTMENT OF THE ARMY,Support Plans,23
DEPARTMENT OF THE ARMY,TB-6000A Transport Module,25
DEPARTMENT OF THE ARMY,T-Berd/MTS-5800,16
DEPARTMENT OF THE NAVY,Accessories,40
DEPARTMENT OF THE NAVY,CleanBlast,12
DEPARTMENT OF THE NAVY,Common Product,12
DEPARTMENT OF THE NAVY,FIT Generic,5
DEPARTMENT OF THE NAVY,Probe Tips,14
DEPARTMENT OF THE NAVY,SmartPocket Handhelds,5
DEPARTMENT OF THE NAVY,TB/MTS 4000 Platform,22
DEPARTMENT OF THE NAVY,TB-6000A Transport Module,176
DEPARTMENT OF THE NAVY,T-Berd/MTS-5800,16
DEPARTMENT OF THE NAVY,Test Devices,6
DES,Repair,3
DEUTSCHE TELEKOM,HST-3000C-CE,2
DIGICEL,DSAM,8
DIGICEL,HCU1500,2
DIGICEL,StrataSync,2
DIGITAL REPAIR,HST-3000C-CE,4
DIGITAL SIGNAL,Repair,4
DIGITEC,ONX-580,18
DIGITEC,T-Berd/MTS-5800,81
DKK CIVIL,Accessories,8
DON MARTIN,HST-3000C,2
DRS TECHNOLOGIES,CleanBlast,2
DRS TECHNOLOGIES,Probe Tips,4
EARTHLINK BUSINESS,FST-2310,5
EARTHLINK BUSINESS,Repair,3
EATEL,Support Plans,2
EDISON MATERIAL SUPPLY,FST-2000,1
EDISON MATERIAL SUPPLY,Repair,2
EDMO DISTRIBUTORS INC,Accessories,5
EDMO DISTRIBUTORS INC,Analog Inspection & Test,4
EDMO DISTRIBUTORS INC,CleanBlast,4
EDMO DISTRIBUTORS INC,Probe Tips,22
EGYPRO,TB-6000A Transport Module,1
EGYPRO,T-Berd/MTS-5800,1
ELECTRO RENT,Accessories,4
ELECTRO RENT,ACE,6
ELECTRO RENT,ANT-5,2
ELECTRO RENT,Calibrations,5
ELECTRO RENT,Digital Inspection & Test,10
ELECTRO RENT,Probe Tips,1
ELECTRO RENT,Repair,8
ELECTRO RENT,TB-6000A Transport Module,22
ELECTRO RENT,T-BERD 8000,8
ELECTRO RENT,T-Berd/MTS-5800,64
ELECTRO RENT,Test Devices,4
ELLIJAY TELEPHONE,Repair,3
ELLIPSIZ COMMUNICATIONS TAIWAN,Converged Assurance Support,4
ELTA,Digital Inspection & Test,2
EMAR AL JANOUB FOR CONTRACTING,HST-3000 SIMs,5
EMAR AL JANOUB FOR CONTRACTING,HST-3000C,21
EMAR AL JANOUB FOR CONTRACTING,HST-3000C-CE,1
EMAR AL JANOUB FOR CONTRACTING,Ultra FED,6
EMC,Repair,18
EMC,XGIG - Other,7
EMPOWERED ENTERPRISES,SmartClass E1,12
ENERTECH ENGINEERING,HST-3000 SIMs,13
ENERTECH ENGINEERING,HST-3000C,26
ENERTECH ENGINEERING,HST-3000C-CE,12
ENERTECH ENGINEERING,Support Plans,13
ENERTECH ENGINEERING,T-Berd/MTS-5800,13
ENTEL,Location Intelligence Services,1
EQUINIX,Digital Inspection & Test,1
EQUINIX,HST-3000C,12
EQUINIX,HST-3000C-CE,6
EQUINIX,ONX-580,5
EQUINIX,Probe Tips,5
EQUINIX,Support Plans,6
EQUINIX,TB-6000A Transport Module,15
EQUINIX,T-BERD 8000,5
EQUINIX,T-Berd/MTS-5800,27
EQUINIX,Test Devices,4
ERICSSON,HST-3000 SIMs,1
ERICSSON,SmartClass E1,12
ERICSSON,T-BERD 8000,6
ETHYX SOLUTIONS,SmartClass E1,16
EXSELL SALES ASSOCIATES,DSAM,4
EXSELL SALES ASSOCIATES,HCU1500,2
EXSELL SALES ASSOCIATES,StrataSync,2
EXTENET SYSTEMS,Digital Inspection & Test,2
EXTENET SYSTEMS,T-BERD 8000,2
EZCONN,CleanBlast,8
EZCONN,HST-3000C-CE,2
FABRINET,CleanBlast,3
FABRINET,Digital Inspection & Test,5
FARMERS TELEPHONE,Digital Inspection & Test,1
FARMERS TELEPHONE,SMARTClass Fiber,2
FAURE WILLOW COMMUNICATION,DSAM,3
FAURE WILLOW COMMUNICATION,HCU1500,3
FIBCOM INDIA,TB/MTS 8000 Platform,3
FIBER AND CABLE TECHNICAL,SDA-5000,20
FIBER INSTRUMENT SALES,Accessories,28
FIBER INSTRUMENT SALES,Benchtop Inspection,1
FIBER INSTRUMENT SALES,CleanBlast,1
FIBER INSTRUMENT SALES,Digital Inspection & Test,9
FIBER INSTRUMENT SALES,Probe Tips,13
FIBER INSTRUMENT SALES,Test Devices,16
FIBER LAB,Accessories,6
FIBER LAB,Digital Inspection & Test,2
FIBER NODE SERVICES,SDA,2
FIBER OPTIC CENTER,Accessories,23
FIBER OPTIC CENTER,Benchtop Inspection,12
FIBER OPTIC CENTER,CleanBlast,2
FIBER OPTIC CENTER,Digital Inspection & Test,11
FIBER OPTIC CENTER,Probe Tips,6
FIBERHOME,T-Berd/MTS-5800,1
FIBERNEXT,Probe Tips,1
FIBERNEXT,Test Devices,3
FIBERTEL,DSAM,6
FIBERTEL,HCU1500,2
FIBERTEL,StrataSync,2
FIBREMEX,OTDR - FiberComplete modules,3
FIBREMEX,TB/MTS-2000 Platform,3
FICOA COMMUNICATIONS,SDA-5000,8
FIDELITY COMMUNICATIONS,DSAM,3
FIDELITY COMMUNICATIONS,DSAM-6300,1
FIDELITY COMMUNICATIONS,HCU1500,2
FIDELITY COMMUNICATIONS,StrataSync,2
FIRST COMMUNICATIONS,HST-3000C-CE,4
FISHEL,DSAM,9
FISHEL,HCU1500,3
FISHEL,StrataSync,3
FISHERS ISLAND UTILITY,Support Plans,2
FIVE WEST ENTERPRISES,SDA-5000,4
FLUKE,Accessories,2
FLUKE,Analog Inspection & Test,4
FLUKE,Test Devices,2
FONEX,Digital Inspection & Test,1
FOTRONIC,HST-3000 SIMs,3
FOTRONIC,HST-3000C,21
FOTRONIC,HST-3000C-CE,3
FOTRONIC,Probe Tips,1
FOTRONIC,Test Devices,14
FPL FIBERNET,Legacy Wireline Services,5
FRONTIER COMMUNICATIONS,Accessories,3
FRONTIER COMMUNICATIONS,Digital Inspection & Test,2
FRONTIER COMMUNICATIONS,EA Support,11
FRONTIER COMMUNICATIONS,HST-3000 SIMs,34
FRONTIER COMMUNICATIONS,HST-3000C,115
FRONTIER COMMUNICATIONS,HST-3000C-CE,34
FRONTIER COMMUNICATIONS,Probe Tips,10
FRONTIER COMMUNICATIONS,QT-600-10,60
FRONTIER COMMUNICATIONS,Repair,6
FRONTIER COMMUNICATIONS,SmartClass Triple Play,10
FRONTIER COMMUNICATIONS,T-Berd/MTS-5800,16
FRONTIER COMMUNICATIONS,Test Devices,9
FRONTIER COMMUNICATIONS,TrueSpeed,12
FRONTIER COMMUNICATIONS,Ultra FED,2
FUJITSU,Digital Inspection & Test,9
FUJITSU,OTDR - FiberComplete modules,1
FUJITSU,T-BERD 8000,3
GARDEN VALLEY TELEPHONE,Probe Tips,2
GCI,Calibrations,3
GCI,DSAM,1
GE DIGITAL ENERGY,Repair,4
GENERAL COMMUNICATION,DSAM,3
GENERAL DYNAMICS,Attenuators & Backreflector Modules,15
GENERAL DYNAMICS,Calibrations,24
GENERAL DYNAMICS,CleanBlast,2
GENERAL DYNAMICS,MTS-5100e,5
GENERAL DYNAMICS,RANAdvisor Product,3
GENERAL DYNAMICS,RANAdvisor Services & Support,3
GENERAL DYNAMICS,Repair,52
GENERAL ELECTRIC,Accessories,15
GENERAL ELECTRIC,Digital Inspection & Test,5
GENERAL ELECTRIC,Probe Tips,5
GENERAL ELECTRIC,Test Devices,5
GLENAIR,Analog Inspection & Test,2
GLENAIR,Benchtop Inspection,2
GLENAIR,Probe Tips,2
GLOBALNET,SmartClass E1,8
GOOCH & HOUSEGO,Repair,3
GOOCH & HOUSEGO,Swept Wavelength Systems,4
GOOGLE,Accessories,7
GOOGLE,Benchtop Inspection,3
GOOGLE,Probe Tips,3
GOOGLE,Support Plans,13
GOOGLE,Test Devices,3
GOOGLE,WR Common,5
GOVERNMENT OF CANADA,Calibrations,3
GOVERNMENT OF THE REPUBLIC OF ARMENIA,Support Plans,1
GRAYBAR,Accessories,25
GRAYBAR,Analog Inspection & Test,1
GRAYBAR,Certifier,9
GRAYBAR,Digital Inspection & Test,14
GRAYBAR,DSAM,31
GRAYBAR,DSAM-6300,5
GRAYBAR,HCU1500,13
GRAYBAR,HST-3000 SIMs,16
GRAYBAR,HST-3000C,72
GRAYBAR,HST-3000C-CE,12
GRAYBAR,ONX-580,19
GRAYBAR,Probe Tips,11
GRAYBAR,SDA-5000,4
GRAYBAR,StrataSync,9
GRAYBAR,Support Plans,12
GRAYBAR,TB-6000A Transport Module,9
GRAYBAR,T-Berd/MTS-5800,44
GRAYBAR,Test Devices,21
GRAYBAR,Ultra FED,17
GRAYBAR,VSE-1100,4
GREAT PLAINS COMMUNICATIONS,Repair,4
GRESCO,Digital Inspection & Test,2
GRIDLEY CABLE,DSAM,1
GRIDLEY CABLE,SDA-5000,1
GRUPO UNION,DSAM,4
GRUPO UNION,Support Plans,4
GSTEK,FST-2802 G,2
GTL,RANAdvisor Services & Support,2
GUAM CABLEVISION,Calibrations,3
GUAM CABLEVISION,DSAM,1
GUIDEPOINT SECURITY,nTAPs,1
GUODIAN NANJING AUTOMATION,SmartClass E1,8
GUODIAN NANJING AUTOMATION,TB-6000A Transport Module,3
GUODIAN NANJING AUTOMATION,T-Berd/MTS-5800,3
HAGEMEYER NORTH AMERICA,Accessories,2
HAGEMEYER NORTH AMERICA,Digital Inspection & Test,1
HAGEMEYER NORTH AMERICA,Probe Tips,3
HAGEMEYER NORTH AMERICA,Test Devices,1
HARGRAY COMMUNICATIONS GROUP,Other - Cable,3
HARGRAY COMMUNICATIONS GROUP,PathTrak,5
HARRIS,CleanBlast,9
HARRIS,Digital Inspection & Test,1
HARRIS,HST-3000C-CE,5
HENRY DIBISKAWSKI,SDA-5000,2
HEWLETT-PACKARD,Repair,6
HITACHI,Repair,2
HONEYWELL,FST-2000,5
HUAWEI,Accessories,17
HUAWEI,SMART Handhelds,6
HUAWEI,SmartClass E1,32
HUAWEI,Support Plans,4
HUAWEI,TB-6000A Transport Module,15
HUAWEI,T-Berd/MTS-5800,19
HUDSON FIBER NETWORKS,ACE,2
HYDRO ONE,Digital Inspection & Test,4
HYDRO ONE,HST-3000 SIMs,1
HYDRO ONE,HST-3000C,28
ICC WIRELESS,RANAdvisor Services & Support,1
II-VI,HST-3000C,3
II-VI,HST-3000C-CE,3
INDUSTRIAL DISTRIBUTION GROUP,Benchtop Inspection,1
INFINERA,Accessories,2
INFINERA,Benchtop Inspection,2
INFINERA,Probe Tips,2
INFINERA,Repair,7
INNOLIGHT TECHNOLOGY,Probe Tips,4
INNOVATED FACILITY SOLUTIONS,Probe Tips,8
INNOVATUS TECHNOLOGY CONSULTIN,nTAPs,1
INOVA SYSTEMS,Test Devices,2
INSIGHT,nTAPs,11
INTEGRA TELECOM,CT-650,1
INTEGRA TELECOM,HST-3000C-CE,10
INTEGRA TELECOM,Repair,1
INTEGRATION TECHNOLOGY,Digital Inspection & Test,1
INTEGRITY COMMUNICATIONS,DSAM,4
INTEGRITY COMMUNICATIONS,Repair,4
INTEL,XGIG - PCle,2
INTER COMMERCIAL BUSINESS SYSTEMS,HST-3000C-CE,5
INTER COMMERCIAL BUSINESS SYSTEMS,Repair,4
INTERBEL TELEPHONE,Accessories,3
INTERTEK,Calibrations,1
INTERTEL NIGERIA,TB-6000A Transport Module,15
INTERTEL NIGERIA,T-Berd/MTS-5800,5
IPG PHOTONICS,T-Berd/MTS-5800,10
ITG COMMUNICATIONS,Repair,36
ITT,FST-2000,12
IUSACELL,Location Intelligence Services,1
J&P POWER SOLUTIONS,Accessories,8
J&P POWER SOLUTIONS,Digital Inspection & Test,2
JASON OSULLIVAN,Digital Inspection & Test,1
JAX IT,Ethernet Network Management Tools,1
JC COMPTON,SDA-5000,4
JD COMMUNICATIONS,Repair,2
JDSU,Accessories,3
JDSU,CleanBlast,29
JDSU,Digital Inspection & Test,2
JDSU,DTS,1
JDSU,Repair,4
JDSU,TB-6000A Transport Module,48
JDSU,T-Berd/MTS-5800,42
JDSU,Test Point,1
JDSU COMMTEST BRAZIL 495 (205),CA product,13
JDSU COMMTEST BRAZIL 495 (205),RCATS Product,2
JDSU COMMTEST BRAZIL 495 (205),TrueSpeed,24
JDSU COMMTEST CANADA 310 (207),ONX-580,4
JDSU COMMTEST CANADA 310 (207),Passive Plug-ins,3
JDSU COMMTEST CANADA 310 (207),Probe Tips,1
JDSU COMMTEST CANADA 310 (207),TB-6000A Transport Module,4
JDSU COMMTEST CANADA 310 (207),T-Berd/MTS-5800,22
JDSU COMMTEST FRANCE 552 (203),HST-3000C,1
JDSU COMMTEST FRANCE 552 (203),Probe Tips,18
JDSU COMMTEST GERMANY 596 (100),ACE,1
JDSU COMMTEST GERMANY 596 (100),SDA-5000,1
JDSU COMMTEST GERMANY 596 (100),TrueSpeed,16
JDSU COMMTEST HONG KONG 821 (215),Legacy Wireline Support,4
JDSU COMMTEST MEXICO 494 (220),ONX-580,4
JDSU COMMTEST MEXICO 494 (220),TB-6000A Transport Module,4
JDSU COMMTEST MEXICO 494 (220),T-Berd/MTS-5800,24
JDSU COMMTEST US 294,Accessories,7
JDSU COMMTEST US 294,GigaStor,1
JDSU COMMTEST US 294,JMEP,4
JDSU COMMTEST US 294,Matrix (NMS),2
JDSU COMMTEST US 294,NC Ethernet TT,6
JDSU COMMTEST US 294,nTAPs,3
JDSU COMMTEST US 294,ONX-580,17
JDSU COMMTEST US 294,PI Product,1
JDSU COMMTEST US 294,PT Hardware,12
JDSU COMMTEST US 294,QT-600-10,14
JDSU COMMTEST US 294,SmartID,7
JDSU COMMTEST US 294,SmartPocket Handhelds,7
JDSU COMMTEST US 294,TB-6000A Transport Module,4
JDSU COMMTEST US 294,T-Berd/MTS-5800,6
JDSU COMMTEST US 294,Test Devices,14
JF TECH,Benchtop Inspection,4
JF TECH,Repair,4
JGR OPTICS,Benchtop Inspection,6
JIM ALEXANDER,SDA-5000,4
JOHN HOPKINS UNIVERSITY,nTAPs,1
JONHON,Accessories,8
JONHON,Digital Inspection & Test,4
JT ORONZIO,OTDR - FiberComplete modules,4
JUNIPER NETWORKS,Accessories,2
JUNIPER NETWORKS,Benchtop Inspection,1
JUNIPER NETWORKS,Digital Inspection & Test,1
JUNIPER NETWORKS,Probe Tips,3
JUNIPER NETWORKS,Test Devices,1
JUSTEN CABLE CONSTRUCTION,DSAM,2
KAILWIN,Probe Tips,6
KAILWIN,Test Devices,5
KGP TELECOMMUNICATIONS,Accessories,20
KGP TELECOMMUNICATIONS,HST-3000C,100
KGP TELECOMMUNICATIONS,HST-3000C-CE,98
KGP TELECOMMUNICATIONS,ONX-580,141
KGP TELECOMMUNICATIONS,OTDR - FiberComplete modules,1
KGP TELECOMMUNICATIONS,Probe Tips,20
KGP TELECOMMUNICATIONS,SmartClass E1,29
KGP TELECOMMUNICATIONS,SmartClass HOME,21
KGP TELECOMMUNICATIONS,SmartClass Triple Play,4
KGP TELECOMMUNICATIONS,SmartID,4
KGP TELECOMMUNICATIONS,Support Plans,2
KGP TELECOMMUNICATIONS,T-Berd/MTS-5800,11
KGP TELECOMMUNICATIONS,Test Devices,9
KGP TELECOMMUNICATIONS,Ultra FED,9
KINNESIS SOLUTIONS,ACE,2
KITCO FIBER OPTICS,Accessories,8
KITCO FIBER OPTICS,Analog Inspection & Test,9
KITCO FIBER OPTICS,Direct View FM,11
KITCO FIBER OPTICS,Probe Tips,13
KLA TENCOR,Digital Inspection & Test,9
KLA TENCOR,Probe Tips,9
KMM TELECOMMUNICATIONS,FST-2000,17
KMM TELECOMMUNICATIONS,HST-3000C-CE,13
L-3 COMMUNICATIONS,Common Product,3
L-3 COMMUNICATIONS,TB-6000A Transport Module,3
LABINAL,Accessories,2
LANTROVISION,Accessories,6
LANTROVISION,Test Devices,3
LEASE CORPORATION OF AMERICA,DSAM,2
LEASE CORPORATION OF AMERICA,HCU1500,2
LEASE CORPORATION OF AMERICA,StrataSync,2
LEDCOR,ACE,4
LEDCOR,HST-3000C-CE,2
LEDCOR,OTDR - FiberComplete modules,4
LEDCOR,StrataSync,1
LEDCOR,TB/MTS 8000 Platform,1
LEDCOR,TB-6000A Transport Module,4
LENOVO,XGIG - PCle,1
LEVEL 3 COMMUNICATIONS,CT-650,2
LEVEL 3 COMMUNICATIONS,CT-650SM,3
LEVEL 3 COMMUNICATIONS,Legacy Wireline Services,1
LEVEL 3 COMMUNICATIONS,Repair,7
LEVITON,Repair,8
LEVITON,Test Devices,1
LIBERTY CABLEVISION,DSAM,6
LIBERTY CABLEVISION,HCU1500,6
LIBERTY CABLEVISION,PathTrak,37
LIBERTY CABLEVISION,RPM-3000,7
LIGHTMACHINERY,Swept Wavelength Systems,5
LIGHTOWER,Accessories,1
LIGHTOWER,Digital Inspection & Test,1
LIGHTOWER,ONX-580,1
LIGHTOWER,TB-6000A Transport Module,2
LIGHTOWER,T-BERD 8000,1
LIGHTOWER,T-Berd/MTS-5800,7
LOCKHEED MARTIN,Calibrations,2
LOCKHEED MARTIN,Common Product,9
LOCKHEED MARTIN,Repair,1
LOCKHEED MARTIN,TB-6000A Transport Module,18
LORRON TECHNOLOGIES,SDA-5000,5
LS NETWORKS,ACE,2
LUMOS NETWORKS,EA Support,6
LUMOS NETWORKS,QT-600-10,32
LUMOS NETWORKS,QT-600-2,1
LUNASAT,Accessories,3
LUNASAT,OTDR - FiberComplete modules,3
LUNASAT,T-Berd/MTS-5800,2
LUNASAT,Test Devices,3
M2CONNECTIONS,Repair,3
MADISON GROUP,DSAM,6
MADISON GROUP,HCU1500,2
MADISON GROUP,StrataSync,2
MAGNESS & SONS,OTDR - FiberComplete modules,5
MAHANAGAR TELEPHONE NIAGAM,RANAdvisor Product,11
MANAGEMENT COMMUNICATION,GigaStor,24
MARCUM TECHNOLOGY,nTAPs,3
MASSTRON,TB/MTS-2000 Platform,18
MASTEC,Digital Inspection & Test,2
MAXXSOUTH BROADBAND,DSAM,3
MAXXSOUTH BROADBAND,HCU1500,3
MCGRATH RENTCORP,Accessories,4
MCGRATH RENTCORP,Calibrations,33
MCGRATH RENTCORP,Digital Inspection & Test,3
MCGRATH RENTCORP,DSAM,4
MCGRATH RENTCORP,HST-3000C,6
MCGRATH RENTCORP,OSA,4
MCGRATH RENTCORP,OTDR - FiberComplete modules,29
MCGRATH RENTCORP,Probe Tips,1
MCGRATH RENTCORP,RANAdvisor Services & Support,3
MCGRATH RENTCORP,Repair,8
MCGRATH RENTCORP,SmartPocket Handhelds,4
MCGRATH RENTCORP,TB/MTS 8000 Platform,1
MCGRATH RENTCORP,TB-6000A Transport Module,31
MCGRATH RENTCORP,Test Devices,3
MCNC,Repair,1
MCNC,TB-6000A Transport Module,4
MCO SOLUTIONS,FST-2000,30
MEDIACOM COMMUNICATIONS,DSAM,11
MEDIACOM COMMUNICATIONS,Extended Warranty,1
MEDIACOM COMMUNICATIONS,HCU1500,7
MEDIACOM COMMUNICATIONS,Repair,3
MEDIACOM COMMUNICATIONS,SDA-5000,13
MEDIACOM COMMUNICATIONS,SDA-5500,1
MEDIACOM COMMUNICATIONS,StrataSync,2
MEDICAL INSTRUMENT DEVELOPMENT LABS,Benchtop Inspection,5
MEDWAVE OPTIQUE,Repair,3
MEJDAF TRADING GROUP,Accessories,17
MEJDAF TRADING GROUP,Analog Inspection & Test,1
MEJDAF TRADING GROUP,FIT Generic,3
MEJDAF TRADING GROUP,Probe Tips,20
MEJDAF TRADING GROUP,SMARTClass Fiber,2
MENARA NETWORKS,Repair,1
MERIDIAN COMMUNICATIONS & CONSTRUCTION,Digital Inspection & Test,1
METROCAST CABLEVISION,DSAM,15
METROCAST CABLEVISION,HCU1500,10
METROCAST CABLEVISION,Probe Tips,10
METROCAST CABLEVISION,SmartID,16
METROCAST CABLEVISION,StrataSync,5
METROPOLITAN WATER DISTRICT OF SOUTHERN,FST-2000,4
METROPOLITAN WATER DISTRICT OF SOUTHERN,Repair,4
MICROLEASE,Accessories,2
MICROLEASE,Calibrations,12
MICROLEASE,CapacityAdvisor Held,7
MICROLEASE,CellAdvisor,3
MICROLEASE,Digital Inspection & Test,4
MICROLEASE,HST-3000 SIMs,4
MICROLEASE,HST-3000C,4
MICROLEASE,HST-3000C-CE,44
MICROLEASE,JMEP,6
MICROLEASE,MAP Standalone Switches,4
MICROLEASE,nTAPs,1
MICROLEASE,OTDR - FiberComplete modules,12
MICROLEASE,PI Product,2
MICROLEASE,QT-600-10,2
MICROLEASE,Repair,25
MICROLEASE,SmartClass E1,2
MICROLEASE,SmartClass HOME,12
MICROLEASE,SmartClass Triple Play,2
MICROLEASE,TB/MTS-2000 Platform,3
MICROLEASE,TB-6000A Transport Module,30
MICROLEASE,T-BERD 8000,5
MICROLEASE,T-Berd/MTS-5800,8
MICROLEASE,Test Devices,2
MICROSOFT,Accessories,16
MICROSOFT,Benchtop Inspection,8
MICROSOFT,Certifier,20
MICROSOFT,Probe Tips,16
MICROSOFT,Test Devices,8
MID CENTRAL CONTRACTORS,SDA-5000,4
MIDCONTINENT COMMUNICATIONS,DSAM,7
MIDCONTINENT COMMUNICATIONS,DSAM Upgrades,7
MIDCONTINENT COMMUNICATIONS,HCU1500,2
MIDCONTINENT COMMUNICATIONS,Repair,7
MIDCONTINENT COMMUNICATIONS,StrataSync,2
MIDWEST UNDERGROUND TECHNOLOGY,OTDR - FiberComplete modules,4
MILL CITY TEC,Digital Inspection & Test,4
MILLENNIUM TECHNICAL SERVICES,Digital Inspection & Test,1
MOCHO TRADING,nTAPs,1
MOHAWK,HST-3000C-CE,9
MOHAWK,Repair,2
MOHAWK,TB-6000A Transport Module,1
MORGAN CALMA,Ethernet Network Management Tools,1
MORGAN CALMA,Repair,3
MOTOROLA SOLUTIONS,Support Plans,1
MP INSTRUMENT,DSAM,5
MP INSTRUMENT,HCU1500,3
MP INSTRUMENT,HST-3000C-CE,2
MP INSTRUMENT,SDA-5000,2
MP INSTRUMENT,Test Devices,4
MPB COMMUNICATIONS,Repair,6
MRL ENGINEERING,RANAdvisor Product,6
MRL ENGINEERING,RANAdvisor Services & Support,3
MTF COMMUNICATIONS,DSAM,5
MTF COMMUNICATIONS,HCU1500,5
MTF COMMUNICATIONS,StrataSync,5
MTN YEMEN,T-BERD 8000,6
MTN YEMEN,T-Berd/MTS-5800,15
MTX ELECTRONICS,Probe Tips,2
MULTINET,Support Plans,2
MULTIPATH COMMUNICATIONS GROUP,RANAdvisor Product,2
MULTIPATH COMMUNICATIONS GROUP,RANAdvisor Services & Support,1
NASA,Digital Inspection & Test,1
NASA,Probe Tips,1
NATIONAL CABLE TELEVISION,DSAM,67
NATIONAL CABLE TELEVISION,HCU1500,41
NATIONAL CABLE TELEVISION,RSAM,3
NATIONAL CABLE TELEVISION,SDA-5000,2
NATIONAL CABLE TELEVISION,StrataSync,14
NC IV,Accessories,6
NC IV,Analog Inspection & Test,8
NC IV,CleanBlast,3
NC IV,Digital Inspection & Test,3
NC IV,DSAM,8
NC IV,Probe Tips,13
NC IV,Test Devices,4
NCI,DSAM,3
NCI,HCU1500,3
NCS INDUSTRIES,DSAM,2
NCS INDUSTRIES,Repair,1
NEC,Accessories,1
NEC,Digital Inspection & Test,1
NEC,Probe Tips,8
NEMONT TELEPHONE,DSAM,3
NEMONT TELEPHONE,HCU1500,3
NEMONT TELEPHONE,HST-3000 SIMs,2
NEMONT TELEPHONE,HST-3000C,8
NEMONT TELEPHONE,Ultra FED,2
NEOCOM SOLUTIONS,OTDR - FiberComplete modules,5
NEOPHOTONICS,Digital Inspection & Test,2
NETAPP,Repair,2
NETSOLUTIONS,DSAM,4
NETSOLUTIONS,HCU1500,2
NETSOLUTIONS,SDA-5000,17
NETSOLUTIONS,SmartClass Ethernet,3
NETSOLUTIONS,StrataSync,2
NETWORK TECHNOLOGY PARTNERS,NI - Maintenance,3
NETWORK TECHNOLOGY PARTNERS,nTAPs,1
NETWORK TECHNOLOGY PARTNERS,Observer,3
NEXGEN WIRELESS,RANAdvisor Product,1
NEXIUS,Location Intelligence Support,1
NEXIUS,RANAdvisor Product,1
NEX-TECH,TrueSpeed,4
NEXTGIG SYSTEMS,GigaStor,2
NISKO TECHNOLOGIES,Repair,1
NISKO TECHNOLOGIES,XGIG - Other,1
NISTICA,Analog Inspection & Test,6
NISTICA,Benchtop Inspection,5
NISTICA,Probe Tips,3
NOKIA SOLUTIONS AND NETWORKS,Accessories,2
NOKIA SOLUTIONS AND NETWORKS,RANAdvisor Product,6
NOKIA SOLUTIONS AND NETWORKS,RANAdvisor Services & Support,3
NORTHEAST CABLE,RPM2000,1
NORTHLAND COMMUNICATIONS,DSAM,2
NORTHLAND COMMUNICATIONS,HCU1500,2
NORTHLAND COMMUNICATIONS,SDA-5500,1
NORTHLAND COMMUNICATIONS,StrataSync,2
NORTHROP GRUMMAN,Accessories,2
NORTHROP GRUMMAN,Common Product,5
NORTHROP GRUMMAN,Digital Inspection & Test,1
NORTHROP GRUMMAN,Support Plans,6
NORTHROP GRUMMAN,TB-6000A Transport Module,21
NSIGHT TELSERVICES,Legacy Wireline Services,1
NTT,Benchtop Inspection,4
